FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
401, 690, 1708, 1446, 284, 899, 3476, 2809, 11314
402, 1131, 420, 19, 64, 934, 3559, 3169, 9298
403, 905, 1749, 1687, 489, 830, 3501, 3050, 12213
404, 1130, 816, 40, 107, 807, 3644, 3239, 9785
405, 904, 1666, 1647, 908, 884, 3546, 3881, 13437
406, 902, 532, 29, 296, 822, 3637, 3798, 10018
407, 922, 1700, 1597, 530, 815, 3489, 3168, 12223
408, 914, 544, 29, 77, 817, 3809, 3017, 9209
409, 906, 1726, 1705, 462, 819, 3340, 3142, 12103
410, 906, 555, 30, 77, 865, 3861, 2952, 9248
411, 1007, 1676, 1929, 435, 822, 4050, 3089, 13011
412, 857, 526, 29, 91, 878, 3963, 3036, 9382
413, 908, 1711, 1580, 514, 832, 3426, 3062, 12034
414, 923, 552, 29, 71, 808, 3805, 2958, 9148
415, 785, 1756, 3585, 406, 1114, 5201, 3061, 15909
416, 731, 335, 17, 63, 884, 3563, 2804, 8399
417, 996, 1667, 2751, 470, 940, 3608, 3074, 13507
418, 925, 568, 26, 72, 900, 3895, 3138, 9526
419, 907, 1784, 1620, 485, 826, 3371, 3100, 12095
420, 963, 553, 562, 430, 984, 3598, 3333, 10424
421, 1002, 1731, 1661, 532, 892, 3560, 3176, 12556
422, 877, 563, 281, 665, 908, 3654, 3497, 10447
423, 860, 1714, 1599, 472, 859, 3707, 3110, 12324
424, 866, 538, 27, 88, 857, 3644, 3135, 9156
425, 882, 1719, 1549, 460, 805, 3390, 3016, 11823
426, 950, 549, 29, 72, 872, 3770, 2929, 9173
427, 918, 1738, 1707, 480, 776, 3349, 3004, 11974
428, 1125, 460, 23, 66, 758, 3856, 2853, 9142
429, 861, 1733, 1597, 443, 779, 3350, 3365, 12130
430, 849, 569, 28, 93, 766, 3788, 3115, 9211
431, 1081, 1736, 1849, 446, 781, 3370, 3158, 12424
432, 881, 535, 265, 668, 756, 3525, 3401, 10032
433, 888, 1731, 1593, 640, 746, 3415, 3512, 12527
434, 1095, 584, 25, 672, 735, 3635, 3185, 9933
